transaction_id,transaction_date,account_id,security_id,advisor_id,transaction_type,quantity,price,trade_value,brokerage_fee,tax_amount,source_system,batch_id,load_date,record_created_ts,record_updated_ts
efefffefddfaecc84926214159840592777384597926,2026-07-19,ACC000199,SEC00069,ADV0020,BUY,24,4421.29,106110.96,212.22,191.0,Core Banking,BATCH_20260720,2026-07-19,2026-07-19 10:30:00.000,2026-07-19 10:30:00.000
ecfedbcbeadeefefc84926214159840592777384597927,2026-07-19,ACC000129,SEC00115,ADV0010,BUY,452,4328.13,1956314.76,3912.63,3521.37,Core Banking,BATCH_20260720,2026-07-19,2026-07-19 10:30:00.000,2026-07-19 10:30:00.000
ddaebbac84926214159840592777384597928,2026-07-19,ACC000625,SEC00078,ADV0004,BUY,149,4935.92,735452.08,1470.9,1323.81,Core Banking,BATCH_20260720,2026-07-19,2026-07-19 10:30:00.000,2026-07-19 10:30:00.000
cbecdeeb84926214159840592777384597929,2026-07-19,ACC000787,SEC00091,ADV0017,BUY,49,2643.5,129531.5,259.06,233.16,Core Banking,BATCH_20260720,2026-07-19,2026-07-19 10:30:00.000,2026-07-19 10:30:00.000
aafdfafbfcbd84926214159840592777384597930,2026-07-19,ACC000369,SEC00136,ADV0010,SELL,282,2988.97,842889.54,1685.78,1517.2,Core Banking,BATCH_20260720,2026-07-19,2026-07-19 10:30:00.000,2026-07-19 10:30:00.000
ecdffcccce84926214159840592777384597931,2026-07-19,ACC000093,SEC00129,ADV0002,BUY,304,2690.46,817899.84,1635.8,1472.22,Core Banking,BATCH_20260720,2026-07-19,2026-07-19 10:30:00.000,2026-07-19 10:30:00.000
daafdebeba84926214159840592777384597932,2026-07-19,ACC000673,SEC00023,ADV0002,SELL,495,3246.98,1607255.1,3214.51,2893.06,Core Banking,BATCH_20260720,2026-07-19,2026-07-19 10:30:00.000,2026-07-19 10:30:00.000
bcbfebcc84926214159840592777384597933,2026-07-19,ACC000751,SEC00004,ADV0009,SELL,205,3248.89,666022.45,1332.04,1198.84,Core Banking,BATCH_20260720,2026-07-19,2026-07-19 10:30:00.000,2026-07-19 10:30:00.000
bdeecdd84926214159840592777384597934,2026-07-19,ACC000455,SEC00093,ADV0019,SELL,271,893.62,242171.02,484.34,435.91,Core Banking,BATCH_20260720,2026-07-19,2026-07-19 10:30:00.000,2026-07-19 10:30:00.000
aeafbfebadadf84926214159840592777384597935,2026-07-19,ACC000394,SEC00074,ADV0020,BUY,225,2233.59,502557.75,1005.12,904.6,Core Banking,BATCH_20260720,2026-07-19,2026-07-19 10:30:00.000,2026-07-19 10:30:00.000
