security_id,ticker,security_name,asset_class,sector,currency,exchange,status,source_system,batch_id,load_date,record_created_ts,record_updated_ts
SEC00136,DIVISLAB,DIVISLAB,Equity,Technology,INR,BSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.909727,2026-07-19
SEC00091,SHRIRAMFIN,SHRIRAMFIN,Equity,Finance,INR,BSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.909592,2026-07-19
SEC00146,PIDILITIND,PIDILITIND,ETF,Healthcare,INR,NSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.910128,2026-07-19
SEC00148,DMART,DMART,Equity,Industrial,INR,NSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.910141,2026-07-19
SEC00061,WIPRO,WIPRO,Bond,Energy,INR,BSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.909495,2026-07-19
SEC00038,APOLLOHOSP,APOLLOHOSP,Equity,Finance,INR,NSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.909413,2026-07-19
SEC00027,INDUSINDBK,INDUSINDBK,Equity,Industrial,INR,BSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.909380,2026-07-19
SEC00004,HDFCBANK,HDFCBANK,ETF,Industrial,INR,NSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.909307,2026-07-19
SEC00076,JSWSTEEL,JSWSTEEL,ETF,Industrial,INR,BSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.909547,2026-07-19
SEC00010,MARUTI,MARUTI,ETF,Consumer,INR,BSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.909327,2026-07-19
