account_id,customer_id,account_type,opened_date,branch,currency,status,source_system,batch_id,load_date,record_created_ts,record_updated_ts
ACC000001,CUST00374,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-16 11:10:47.583937
ACC000002,CUST00446,Investment,2023-06-05,Hyderabad,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583955,2026-07-16 11:10:47.583955
ACC000003,CUST00069,Demat,2017-08-29,Bengaluru,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583965,2026-07-16 11:10:47.583965
ACC000004,CUST00202,Current,2019-12-30,Kolkata,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583973,2026-07-16 11:10:47.583973
ACC000005,CUST00388,Savings,2021-09-10,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583980,2026-07-16 11:10:47.583980
ACC000006,CUST00218,Investment,2020-02-25,Bengaluru,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583987,2026-07-16 11:10:47.583987
ACC000007,CUST00178,Current,2021-03-08,Bengaluru,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583995,2026-07-16 11:10:47.583995
ACC000008,CUST00017,Investment,2015-05-09,Bengaluru,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.584001,2026-07-16 11:10:47.584001
ACC000009,CUST00035,Savings,2015-10-03,Mumbai,INR,Closed,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.584007,2026-07-16 11:10:47.584007
ACC000010,CUST00345,Savings,2020-06-27,Delhi,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.584014,2026-07-16 11:10:47.584014
ACC000011,CUST00206,Investment,2020-04-03,Pune,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.584021,2026-07-16 11:10:47.584021
